Ticker,Name,Currency,Market cap (m),Price,Change,Change %
ANTO,ANTOFAGASTA PLC ORD 5P,GBX,"15,103.32","1,524.50",-7.5,-0.49%
JAM,JPMORGAN AMERICAN IT PLC ORD 5P,GBX,"1,194.90",601,-3,-0.50%
SHB,SHAFTESBURY PLC ORD 25P,GBX,"2,203.47",570.5,-3,-0.52%
JET,JUST EAT TAKEAWAY.COM N.V. ORD EUR0.04 (CDI),GBX,"11,761.89","7,862.00",-42,-0.53%
NEX,NATIONAL EXPRESS GROUP PLC ORD 5P,GBX,"1,848.40",299.4,-1.6,-0.53%
SIG,SIGNATURE AVIATION PLC ORD 37 17/84P,GBX,"3,418.98",410.3,-2.2,-0.53%
MONY,MONEYSUPERMARKET.COM GROUP PLC ORD 0.02P,GBX,"1,409.38",261.2,-1.4,-0.53%
CLDN,CALEDONIA INVESTMENTS PLC ORD 5P,GBX,"1,544.93","2,775.00",-15,-0.54%
POG,PETROPAVLOVSK PLC ORD 1P,GBX,"1,098.14",27.6,-0.15,-0.54%
OXB,OXFORD BIOMEDICA PLC ORD 50P,GBX,840.2,"1,014.00",-6,-0.59%
TRY,TR PROPERTY INV TST PLC ORD 25P,GBX,"1,259.88",394.5,-2.5,-0.63%
ATST,ALLIANCE TRUST PLC ORD 2.5P,GBX,"2,944.41",913,-6,-0.65%
