Code	Name	Currency	Market cap (m)	Price	Change	Change %
JMAT	JOHNSON MATTHEY PLC ORD 110 49/53P	GBX	5,620.21	2,906.00	2.00	0.07%
BARC	BARCLAYS PLC ORD 25P	GBX	25,603.73	147.58	0.10	0.07%
WG.	WOOD GROUP (JOHN) PLC ORD 4 2/7P	GBX	2,094.62	304.50	0.20	0.07%
BDEV	BARRATT DEVELOPMENTS PLC ORD 10P	GBX	7,077.32	695.40	0.40	0.06%
SDR	SCHRODERS PLC VTG SHS £1	GBX	7,953.73	3,521.00	2.00	0.06%
SKG	SMURFIT KAPPA GROUP PLC ORD EUR0.001	GBX	9,142.80	3,546.00	2.00	0.06%
AAL	ANGLO AMERICAN PLC ORD USD0.54945	GBX	35,182.08	2,582.00	1.00	0.04%
WWH	WORLDWIDE HEALTHCARE TRUST PLC ORD 25P	GBX	2,482.30	3,930.00	-	-
UKW	GREENCOAT UK WIND PLC ORD 1P	GBX	2,554.21	140.00	-	-
TEP	TELECOM PLUS PLC ORD 5P	GBX	1,018.96	1,294.00	-	-
TEP	TELECOM PLUS PLC ORD 5P	GBX	1,018.96	1,294.00	-	-
SSON	SMITHSON INVESTMENT TRUST PLC ORD 1P	GBX	2,469.31	1,694.00	-	-
SOI	SCHRODER ORIENTAL INCOME FUND LD ORD 1P	GBX	735.53	274.00	-	-
SDP	SCHRODER ASIA PACIFIC FUND ORD 10P	GBX	1,116.03	669.00	-	-
RCP	RIT CAPITAL PARTNERS PLC ORD £1	GBX	3,408.92	2,175.00	-	-
PLP	POLYPIPE GROUP PLC ORD GBP0.001	GBX	1,201.73	526.00	-	-
PHNX	PHOENIX GROUP HOLDINGS PLC ORD 10P	GBX	6,966.65	697.20	-	-
MUT	MURRAY INCOME TRUST PLC ORD 25P	GBX	976.17	834.00	-	-
MRC	MERCANTILE INVESTMENT TST (THE) PLC ORD 2.5P	GBX	2,014.43	254.50	-	-
MNKS	MONKS INV TST PLC ORD 5P	GBX	3,323.61	1,436.00	-	-
LWDB	LAW DEBENTURE CORPORATION PLC ORD 5P	GBX	813.79	687.00	-	-
LIO	LIONTRUST ASSET MANAGEMENT PLC ORD 1P	GBX	731.37	1,200.00	-	-
LAND	LAND SECURITIES GROUP PLC ORD 10 2/3P	GBX	4,591.21	619.20	-	-
ICGT	ICG ENTERPRISE TRUST PLC ORD 10P	GBX	687.67	1,000.00	-	-
GLO	CONTOURGLOBAL PLC ORD 1P	GBX	1,369.07	208.50	-	-
FSV	FIDELITY SPECIAL VALUES PLC ORD 5P	GBX	730.78	247.50	-	-
FSFL	FORESIGHT SOLAR FUND LD ORD NPV	GBX	616.83	101.50	-	-
CSH	CIVITAS SOCIAL HOUSING PLC ORD 1P	GBX	678.84	109.20	-	-
BRBY	BURBERRY GROUP PLC ORD 0.05P	GBX	7,124.51	1,760.00	-	-
BOY	BODYCOTE PLC ORD 17 3/11P	GBX	1,391.89	727.00	-	-
AO.	AO WORLD PLC ORD 0.25P	GBX	1,509.80	315.50	-	-
UU.	UNITED UTILITIES GROUP PLC ORD 5P	GBX	6,124.72	897.60	-0.60	-0.07%
CLSN	CALISEN PLC ORD GBP0.01	GBX	1,423.11	259.50	-0.20	-0.08%
RSA	RSA INSURANCE GROUP PLC ORD GBP1.00	GBX	7,011.11	676.60	-0.60	-0.09%
SN.	SMITH & NEPHEW PLC ORD USD0.20	GBX	13,520.91	1,540.00	-1.50	-0.10%
PNL	PERSONAL ASSETS TRUST PLC ORD £12.50	GBX	1,418.84	45,500.00	-50.00	-0.11%
VOF	VINACAPITAL VIETNAM OPP. FUND LD ORD $0.01	GBX	735.12	430.50	-0.50	-0.12%
INF	INFORMA PLC ORD 0.1P	GBX	7,736.01	514.40	-0.60	-0.12%
ESNT	ESSENTRA PLC ORD 25P	GBX	907.46	300.40	-0.40	-0.13%
ATT	ALLIANZ TECHNOLOGY TRUST PLC ORD 25P	GBX	1,355.29	3,185.00	-5.00	-0.16%
ASL	ABERFORTH SMALLER COMPANIES TST PLC ORD 1P	GBX	1,123.23	1,264.00	-2.00	-0.16%
